root of term,terms,accuracy,precision,recall,Fscore,tp,fp,tn,fn
finder,[finder],0.7863590717315674,0.0,0.0,0.0,0,7,784,206
condit,[conditional],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
workspac,[workspace],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
move,[move],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
compon,[component],0.791374146938324,0.0,0.0,0.0,0,2,789,206
monitor,[monitor],0.791374146938324,0.0,0.0,0.0,0,2,789,206
break,[break],0.791374146938324,0.0,0.0,0.0,0,2,789,206
holder,[holder],0.791374146938324,0.0,0.0,0.0,0,2,789,206
arrai,[array],0.7733199596405029,0.0,0.0,0.0,0,20,771,206
for,[for],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
list,[list],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
inner,[inner],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
emul,[emulation],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
depend,[dependency],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
region,[region],0.7873620986938477,0.0,0.0,0.0,0,6,785,206
public,[public],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
miss,[missing],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
delet,[delete],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
combin,[combined],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
runtim,[runtime],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
invis,[invisible],0.791374146938324,0.0,0.0,0.0,0,2,789,206
ant,[ant],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
true,[true],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
save,[save],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
empti,[empty],0.791374146938324,0.0,0.0,0.0,0,2,789,206
rang,[range],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
factori,[factory],0.7863590717315674,0.0,0.0,0.0,0,7,784,206
thi,[this],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
number,[number],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
flatten,[flattener],0.791374146938324,0.0,0.0,0.0,0,2,789,206
diagnos,[diagnose],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
if,[if],0.791374146938324,0.0,0.0,0.0,0,2,789,206
keyword,[keyword],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
queri,[query],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
error,[error],0.791374146938324,0.0,0.0,0.0,0,2,789,206
format,[format; formatting],0.7853560447692871,0.0,0.0,0.0,0,8,783,206
polici,[policies],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
line,[line],0.7853560447692871,0.0,0.0,0.0,0,8,783,206
text,[text],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
assist,[assist],0.7813440561294556,0.0,0.0,0.0,0,12,779,206
doubl,[double],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
sub,[sub],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
routin,[routine],0.791374146938324,0.0,0.0,0.0,0,2,789,206
tabl,[table],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
with,[with],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
bodi,[body],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
case,[case],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
possibl,[possible],0.791374146938324,0.0,0.0,0.0,0,2,789,206
hashtabl,[hashtable],0.7843530774116516,0.0,0.0,0.0,0,9,782,206
task,[task],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
primit,[primitive],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
long,[long],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
evalu,[evaluator; evaluation],0.7873620986938477,0.0,0.0,0.0,0,6,785,206
found,[found],0.791374146938324,0.0,0.0,0.0,0,2,789,206
implicit,[implicit],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
memento,[memento],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
token,[tokenizer; token],0.791374146938324,0.0,0.0,0.0,0,2,789,206
substitut,[substitution],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
parenthes,[parenthesized],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
base,[based; base],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
reader,[reader],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
normal,[normal],0.791374146938324,0.0,0.0,0.0,0,2,789,206
sorter,[sorter],0.791374146938324,0.0,0.0,0.0,0,2,789,206
store,[store],0.791374146938324,0.0,0.0,0.0,0,2,789,206
recoveri,[recovery],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
invalid,[invalid],0.791374146938324,0.0,0.0,0.0,0,2,789,206
input,[input],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
properti,[property],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
end,[end],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
offset,[offsets],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
notifi,[notifier],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
prefix,[prefix],0.791374146938324,0.0,0.0,0.0,0,2,789,206
pair,[pair],0.7843530774116516,0.0,0.0,0.0,0,9,782,206
contain,[container],0.7873620986938477,0.0,0.0,0.0,0,6,785,206
descriptor,[descriptor],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
enumer,[enumerator; enumeration],0.791374146938324,0.0,0.0,0.0,0,2,789,206
tool,[tool],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
invoc,[invocation],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
throw,[throw],0.791374146938324,0.0,0.0,0.0,0,2,789,206
thrown,[thrown],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
work,[working; work],0.7853560447692871,0.0,0.0,0.0,0,8,783,206
owner,[owner],0.791374146938324,0.0,0.0,0.0,0,2,789,206
annotat,[annotatable],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
creation,[creation],0.791374146938324,0.0,0.0,0.0,0,2,789,206
enum,[enum],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
stat,[stats],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
int,[int],0.7853560447692871,0.0,0.0,0.0,0,8,783,206
continu,[continue],0.791374146938324,0.0,0.0,0.0,0,2,789,206
