identifier,accuracy,precision,recall,Fscore,tp,fp,tn,fn
case,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
label,0.791374146938324,0.3333333432674408,0.009708737954497337,0.01886792471496426,2,4,787,204
possible,0.791374146938324,0.0,0.0,0.0,0,2,789,206
constants,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
hashtable,0.7843530774116516,0.0,0.0,0.0,0,9,782,206
bytes,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
disassembler,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
primitive,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
long,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
evaluator,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
found,0.791374146938324,0.0,0.0,0.0,0,2,789,206
implicit,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
memento,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
tokenizer,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
frame,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
parenthesized,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
processor,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
updated,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
